merchant_id,category_name,category_name_new
9723,Bekleidung Erwachsene > Damen > Sweatshirt,Bekleidung > Damen > Pullover & Strickjacken > Pullover > Sweatshirts,
9723,Blazer,Bekleidung > Damen > Kostüme & Blazer > Blazer,
9723,Jeans,Bekleidung > Damen > Hosen > Jeans,
9723,Pullover,Bekleidung > Damen > Pullover & Strickjacken > Pullover,
9723,Shorts,Bekleidung > Damen > Hosen > Shorts,
9723,Tops,Bekleidung > Damen > T-Shirts & Blusen > T-Shirts,
9723,Damenmode / Damen-Hosenanzug,Bekleidung > Damen > Kostüme & Blazer > Kostüme,
9723,Damen > Bekleidung  > Pullover & Strickjacken,Bekleidung > Damen > Pullover & Strickjacken,
9723,Herren > Damen > Bekleidung  > Pullover & Strickjacken,Bekleidung > Herren > Pullover & Strickjacken,
9723,Sneaker,Schuhe > Damen > Sneaker,
9723,Stiefel,Schuhe > Damen > Stiefel,
9723,Stiefeletten,Schuhe > Damen > Stiefeletten,
9723,FEMALE > Hosen & Leggings > Gerade geschnittene Hose,Bekleidung > Damen > Hosen,
9723,FEMALE > Jeans > Boyfriend-Jeans,Bekleidung > Damen > Hosen > Jeans,
9723,FEMALE > Jeans > Dunkle Waschung,Bekleidung > Damen > Hosen > Jeans,
9723,FEMALE > Jeans > Jeans mit hohem Bund,Bekleidung > Damen > Hosen > Jeans,
9723,FEMALE > Jeans > Skinny-Jeans,Bekleidung > Damen > Hosen > Jeans,
9723,FEMALE > Jumpsuits und kurze Jumpsuits > Jumpsuits,Bekleidung > Damen > Hosen,
9723,FEMALE > Kleider > Abendkleider,Bekleidung > Damen > Kleider > Abendkleider,
9723,FEMALE > Kleider > Freizeitkleider,Bekleidung > Damen > Kleider,
9723,FEMALE > Kleider > Midikleider,Bekleidung > Damen > Kleider > Midikleider,
9723,FEMALE > Kleider > Spitzenkleider,Bekleidung > Damen > Kleider,
9723,FEMALE > Mäntel & Jacken > Jacken,Bekleidung > Damen > Jacken & Mäntel > Jacken,
9723,FEMALE > Oberteile,Bekleidung > Damen > T-Shirts & Blusen,
9723,FEMALE > Oberteile > Hemden & Blusen,Bekleidung > Damen > T-Shirts & Blusen,
9723,FEMALE > Oberteile > T-Shirts & Trägershirts,Bekleidung > Damen > T-Shirts & Blusen > T-Shirts,
9723,FEMALE > Röcke > Midiröcke,Bekleidung > Damen > Röcke > Midiröcke,
9723,FEMALE > Röcke > Miniröcke,Bekleidung > Damen > Röcke > Miniröcke,
9723,FEMALE > Sale > Jacken & Mäntel,Bekleidung > Damen > Jacken & Mäntel > Mäntel,
9723,FEMALE > Sale > Jumpsuits und kurze Jumpsuits,Bekleidung > Damen > Hosen,
9723,FEMALE > Sale > Kleider,Bekleidung > Damen > Kleider,
9723,FEMALE > Sale > Kleider > ASOS - Kleider,Bekleidung > Damen > Kleider,
9723,FEMALE > Sale > Kleider > Freizeitkleider,Bekleidung > Damen > Kleider,
